DMC Code,Name,Color
Ecru,Ecru/off-white,0xfff7e7
743,Yellow - MED,0xfdd769
819,Baby Pink - LT,0xfcebde
744,Yellow - PALE,0xfee88d
820,Royal Blue - VY DK,0x151264
745,Yellow - LT PALE,0xfeeba5
822,Beige Gray - LT,0xe8dfc7
746,Off White,0xfaf2d5
823,Blue - DK,0x000b44
747,Sky Blue - VY LT,0xcee9ea
824,Blue - VY DK,0x284779
754,Peach - LT,0xf7c9b0
825,Blue - DK,0x34588f
758,Terra Cotta - VY LT,0xe99f83
826,Blue - MED,0x5075a7
760,Salmon,0xec8880
827,Blue - VY LT,0xa4c1de
761,Salmon - LT,0xf8b4ad
828,Blue - ULT VY LT,0xc3d7e6
762,Pearl Gray - VY LT,0xd1d0d2
829,Golden Olive - VY DK,0x64480c
772,Yellow Green - VY LT,0xd7efa7
830,Golden Olive - DK,0x6e501d
775,Baby Blue - VY LT,0xd4e3ef
831,Golden Olive - MED,0x7c5f20
776,Pink - MED,0xfca8ad
832,Golden Olive,0x9c7230
777,Red - DEEP,0x9b0042
833,Golden Olive - LT,0xb99956
778,Antique Mauve - VY LT,0xdca6a4
834,Golden Olive - VY LT,0xd2b468
779,Brown,0x53332d
838,Beige Brown - VY DK,0x4a3021
780,Topaz - ULT VY DK,0x945026
839,Beige Brown - DK,0x5a3c2d
781,Topaz - VY DK,0xa25f1f
840,Beige Brown - MED,0x7a5939
782,Topaz - DK,0xb26923
841,Beige Brown - LT,0xa37d64
783,Topaz - MED,0xd0883d
842,Beige Brown - VY LT,0xcbb094
791,Cornflower Blue - VY DK,0x2d2068
844,Beaver Gray - ULT DK,0x494842
792,Cornflower Blue - DK,0x454b8b
868,Hazel Nut Brown,0x995c30
793,Cornflower Blue - MED,0x7c82b5
869,Hazelnut Brown - VY DK,0x784c28
794,Cornflower Blue - LT,0xa0b2d7
890,Pistachio Green - ULT DK,0x324233
796,Royal Blue - DK,0x272276
891,Carnation - DK,0xee3246
797,Royal Blue,0x2b3288
892,Carnation - MED,0xf44753
798,Delft Blue - DK,0x4e5ca7
893,Carnation - LT,0xf66879
799,Delft Blue - MED,0x6b7fc0
894,Carnation - VY LT,0xfd95a3
800,Delft Blue - PALE,0xb5c7e9
895,Hunter Green - VY DK,0x344b2e
801,Coffee Brown - DK,0x60391d
898,Coffee Brown - VY DK,0x532f1b
899,Rose - MED,0xea6b78
955,Nile Green - LT,0xa8ebad
900,Burnt Orange - DK,0xc63117
956,Geranium,0xf7566d
902,Garnet - VY DK,0x651329
957,Geranium - PALE,0xfd99af
904,Parrot Green - VY DK,0x386324
958,Seagreen - DK,0x0db294
905,Parrot Green - DK,0x467924
959,Seagreen - MED,0x72d0b7
906,Parrot Green - MED,0x6c9e29
961,Dusty Rose - DK,0xde586c
907,Parrot Green - LT,0x9dc72d
962,Dusty Rose - MED,0xeb7183
909,Emerald Green - VY DK,0x106b43
963,Dusty Rose - ULT VY LT,0xfdccd1
910,Emerald Green - DK,0x10814e
964,Seagreen - LT,0xa5e4d4
911,Emerald Green - MED,0x109256
966,Baby Green - MED,0x94d28a
912,Emerald Green - LT,0x36b26b
967,Peach - LT,0xffc2ac
913,Nile Green - MED,0x55ca7d
970,Pumpkin - LT,0xfb6721
915,Plum - DK,0x95085a
971,Pumpkin,0xfc670d
917,Plum - MED,0xac1071
972,Canary - DEEP,0xfb9f11
918,Red Copper - DK,0x883630
973,Canary - BRIGHT,0xfccd2d
919,Red Copper,0x9b371b
975,Golden Brown - DK,0x813c11
920,Copper - MED,0xab4836
976,Golden Brown - MED,0xcf7532
921,Copper,0xc0573d
977,Golden Brown - LT,0xec8f43
922,Copper - LT,0xdd6e4c
986,Forest Green - VY DK,0x2e5230
924,Gray Green - VY DK,0x384a4a
987,Forest Green - DK,0x436838
926,Gray Green - MED,0x617674
988,Forest Green - MED,0x66924a
927,Gray Green - LT,0x9fa8a5
989,Forest Green,0x71a74e
928,Gray Green - VY LT,0xc0c6c0
991,Aquamarine - DK,0x135f55
930,Antique Blue - DK,0x495c6b
992,Aquamarine - LT,0x42b59e
931,Antique Blue - MED,0x667684
993,Aquamarine - VY LT,0x62d8b6
932,Antique Blue - LT,0x93a0af
995,Electric Blue - DK,0x0061b0
934,Avocado Green - BLACK,0x323324
996,Electric Blue - MED,0x49a8eb
935,Avocado Green - DK,0x383a2a
3011,Khaki Green - DK,0x655935
936,Avocado Green - VY DK,0x3f4227
3012,Khaki Green - MED,0x8b7b4e
937,Avocado Green - MED,0x434f2c
3013,Khaki Green - LT,0xafa97b
938,Coffee Brown - ULT DK,0x45271a
3021,Brown Gray - VY DK,0x50403b
939,Blue - VY DK,0x09092f
3022,Brown Gray - MED,0x848274
943,Aquamarine - MED,0x009a77
3023,Brown Gray - LT,0xa29b86
945,Tawny,0xf6c19a
3024,Brown Gray - VY LT,0xbeb8ac
946,Burnt Orange - MED,0xed4115
3031,Mocha Brown - VY DK,0x423014
947,Burnt Orange,0xfc4f16
3032,Mocha Brown - MED,0x9d8868
948,Peach - VY LT,0xfde6d3
3033,Mocha Brown - VY LT,0xdbc7ad
950,Desert Sand - LT,0xe5ac8d
3041,Antique Violet - MED,0x866a76
951,Tawny - LT,0xfaddb6
3042,Antique Violet - LT,0xaf98a0
954,Nile Green,0x6fda8a
3045,Yellow Beige - DK,0xaf8152
3046,Yellow Beige - MED,0xceb074
3731,Dusty Rose - VY DK,0xc34c5c
3047,Yellow Beige - LT,0xead8ab
3733,Dusty Rose,0xea7e86
3051,Green Gray - DK,0x4c4c1e
3740,Antique Violet - DK,0x71535d
3052,Green Gray - MED,0x787e5c
3743,Antique Violet - VY LT,0xcfc2c9
3053,Green Gray,0x999d75
3746,Blue Violet - DK,0x844ab5
3064,Desert Sand,0xba7056
3747,Blue Violet - VY LT,0xd0c5ec
3072,Beaver Gray - VY LT,0xd2d2ca
3750,Antique Blue - VY DK,0x1d4552
3078,Golden Yellow - VY LT,0xfcf6b6
3752,Antique Blue - VY LT,0xbac9cc
3325,Baby Blue - LT,0xadcde7
3753,Antique Blue - ULT VY LT,0xd9e6ec
3326,Rose - LT,0xf9979c
3755,Baby Blue (?),0x81a5d8
3328,Salmon - DK,0xbe444a
3756,Baby Blue,0xe9f4fa
3340,Apricot - MED,0xfd6b4f
3760,Wedgewood - MED,0x467293
3341,Apricot,0xfd8e78
3761,Sky Blue - LT,0xb1d0df
3345,Hunter Green - DK,0x40552e
3765,Peacock Blue - VY DK,0x175e78
3346,Hunter Green,0x56743b
3766,Peacock Blue - LT,0x4b8aa1
3347,Yellow Green - MED,0x6d9646
3768,Gray Green - DK,0x4c605f
3348,Yellow Green - LT,0xbedf74
3770,Tawny - VY LT,0xfef1d8
3350,Dusty Rose - ULT DK,0xaa3949
3771,Peach - DK,0xe8ac9b
3354,Dusty Rose - LT,0xefa5ac
3772,Desert Sand - VY DK,0x995744
3362,Pine Green - DK,0x49523c
3773,Desert Sand - MED,0xcf866d
3363,Pine Green - MED,0x617451
3774,Desert Sand - VY LT,0xf3cfb4
3364,Pine Green,0x8e9b6d
3776,Mahogany - LT,0xc96444
3371,Black Brown,0x36220e
3777,Terra Cotta - VY DK,0x922f25
3607,Plum - LT,0xd94c9d
3778,Terra Cotta - LT,0xd2705c
3608,Plum - VY LT,0xec81be
